seed,global_episode,total_steps,train_mean_reward,eval_mean_reward,grad_norm,time_seconds
20,380,34732,112.5,88.74,52.48114982846964,17.447192907333374
20,390,35495,76.3,137.42,75.52747904042658,18.00435996055603
20,400,36873,137.8,109.39,45.632975123845824,18.527956008911133
20,410,37919,104.6,283.69,107.87415363475358,19.612876892089844
20,420,40339,242.0,121.73,85.83024635084875,20.313305854797363
20,430,41578,123.9,238.7,67.6302805004469,21.296578884124756
20,440,43574,199.6,308.15,135.23338151560864,22.580127954483032
20,450,46627,305.3,346.85,208.33016961549407,24.181028842926025
20,460,48003,137.6,411.5,98.77091045188483,25.748435020446777
20,470,50450,244.7,382.31,48.906120304220345,27.306840896606445
20,480,52374,192.4,500.0,82.87495879461623,29.232017993927002
30,10,216,21.6,54.5,67.46769790441297,0.2203078269958496
30,20,535,31.9,33.97,18.942071410660922,0.37383079528808594
30,30,867,33.2,24.07,66.04589421879011,0.49537086486816406
30,40,1133,26.6,24.83,4.469631584775003,0.6117157936096191
30,50,1392,25.9,154.64,42.783430168646355,1.1643569469451904
30,60,1886,49.4,64.66,41.54416556318928,1.4437570571899414
30,70,2352,46.6,92.22,16.832714593615812,1.8082828521728516
30,80,2788,43.6,77.02,45.112491748017575,2.118231773376465
30,90,3589,80.1,124.35,52.186255545268786,2.628018856048584
30,100,4491,90.2,20.41,115.58738004480948,2.8049468994140625
30,110,4695,20.4,26.1,24.482802952281,2.9212238788604736
30,120,4949,25.4,110.76,71.200209973703,3.332744836807251
30,130,5795,84.6,127.54,55.230127937631764,3.9016058444976807
30,140,6748,95.3,26.81,110.16393880216903,4.103193759918213
30,150,7033,28.5,26.9,8.768952346987756,4.230746746063232
30,160,7335,30.2,80.54,27.376454553911294,4.54703688621521
30,170,7774,43.9,288.05,78.86014186559687,5.565178871154785
30,180,8506,73.2,37.53,111.60985462541954,5.7773659229278564
30,190,8931,42.5,262.55,80.73225894901262,6.72063684463501
30,200,10604,167.3,81.99,138.83538635592546,7.190183877944946
30,210,11194,59.0,237.77,77.20848045180126,8.061176776885986
30,220,12310,111.6,256.42,85.65800531056276,9.093624830245972
30,230,12806,49.6,500.0,79.97594342930303,10.874950885772705
40,10,213,21.3,33.51,54.864885142020626,0.14043879508972168
40,20,628,41.5,25.86,45.7553777457526,0.2770569324493408
40,30,935,30.7,36.71,9.484908628707117,0.4392566680908203
40,40,1333,39.8,17.49,74.10677047223915,0.5452380180358887
40,50,1591,25.8,53.37,44.932939420819295,0.7584428787231445
40,60,2020,42.9,77.77,28.779596211634612,1.1204328536987305
40,70,2532,51.2,21.11,66.22656656110887,1.2571487426757812
40,80,2798,26.6,31.25,29.61403996009361,1.3980097770690918
40,90,3124,32.6,58.84,56.6511386301822,1.6338927745819092
40,100,3627,50.3,40.38,51.61995937432707,1.8279056549072266
40,110,3953,32.6,22.36,34.516707357640975,1.9420278072357178
40,120,4204,25.1,35.0,29.831968106351407,2.0901057720184326
40,130,4580,37.6,70.3,53.63073491970027,2.3730597496032715
40,140,5125,54.5,82.24,12.62466832862721,2.7153987884521484
40,150,5701,57.6,44.73,26.676032977535627,2.9347426891326904
40,160,6130,42.9,60.79,58.6942377194318,3.191596031188965
40,170,6629,49.9,132.49,23.642078905700256,3.7052218914031982
40,180,7262,63.3,44.59,41.97141168162734,3.9363558292388916
40,190,7742,48.0,114.76,39.609132913939,4.379032850265503
40,200,8434,69.2,36.97,48.010314609886905,4.585697650909424
40,210,8861,42.7,112.37,47.363093348549945,5.019824743270874
40,220,9379,51.8,72.16,19.638339732975524,5.324005842208862
40,230,9992,61.3,47.59,15.892895380097837,5.558284759521484
40,240,10417,42.5,74.15,53.372974544867425,5.861658811569214
40,250,11002,58.5,130.56,28.210783573201056,6.370306730270386
40,260,11761,75.9,39.5,50.932146689447336,6.591964960098267
40,270,12132,37.1,49.98,13.342042151420703,6.803934812545776
40,280,12650,51.8,78.56,62.988379447139245,7.1650896072387695
40,290,13389,73.9,31.05,102.97847698850727,7.353448867797852
40,300,13701,31.2,28.71,10.179243802453426,7.526447772979736
40,310,13996,29.5,54.22,43.86643628066076,7.748145818710327
40,320,14558,56.2,83.86,32.90632842633067,8.094437837600708
40,330,15477,91.9,172.82,34.77179193040842,8.777263879776001
40,340,16448,97.1,26.95,103.4246509861666,8.979833841323853
40,350,16720,27.2,25.55,10.245597513315348,9.103774785995483
40,360,16969,24.9,28.77,17.32728147121261,9.229551792144775
40,370,17264,29.5,55.65,38.02323043060386,9.454996824264526
40,380,17750,48.6,44.43,121.25710269392445,9.663080930709839
40,390,18123,37.3,134.37,42.72779017103738,10.16390085220337
40,400,19148,102.5,23.27,168.34392094029002,10.359535694122314
40,410,19404,25.6,129.99,53.68141546072424,10.829917907714844
40,420,20285,88.1,25.79,254.68481570849593,11.016044616699219
40,430,20516,23.1,102.87,62.14618669731256,11.391980648040771
40,440,21241,72.5,108.41,24.848540588324845,11.83758282661438
40,450,21841,60.0,90.19,126.44984224951541,12.21164584159851
40,460,22487,64.6,360.29,124.22717769353804,13.526351690292358
40,470,24842,235.5,132.99,124.10911762893136,14.24744176864624
40,480,26191,134.9,495.4,116.2240046837995,16.138263702392578
50,10,238,23.8,16.45,48.26164060504443,0.08996391296386719
50,20,454,21.6,24.86,20.15481337873471,0.19967103004455566
50,30,728,27.4,60.48,46.77122890947998,0.43358397483825684
50,40,1166,43.8,39.34,12.67059775613681,0.6155641078948975
50,50,1609,44.3,34.01,61.48439207637848,0.783735990524292
50,60,1985,37.6,56.33,27.381963970776233,1.0199949741363525
50,70,2324,33.9,109.01,32.32909027330535,1.4311048984527588
50,80,3052,72.8,38.67,80.51711137826372,1.6451799869537354
50,90,3408,35.6,182.17,80.4622049285177,2.3008830547332764
50,100,4184,77.6,191.14,97.02385544869202,3.0372140407562256
50,110,4772,58.8,162.68,132.5324840548748,3.6521449089050293
50,120,5159,38.7,500.0,77.8421027750946,5.405976057052612
60,10,253,25.3,9.33,23.282873186701117,0.06287622451782227
60,20,484,23.1,29.82,19.77156343232228,0.19254708290100098
60,30,683,19.9,40.14,26.14681466824499,0.37241220474243164
60,40,986,30.3,28.06,52.46423179165392,0.5040831565856934
60,50,1368,38.2,30.33,75.18940518966775,0.6514561176300049
60,60,1626,25.8,32.71,12.360747434519714,0.7970001697540283
60,70,2147,52.1,50.84,64.50574877679288,1.0319249629974365
60,80,2540,39.3,21.44,42.849476589883594,1.1517400741577148
60,90,2774,23.4,161.71,69.60840775957524,1.7604889869689941
60,100,3472,69.8,61.64,38.1043855120604,2.0468149185180664
60,110,4056,58.4,61.4,97.78327752361498,2.3244290351867676
60,120,4503,44.7,166.87,46.35627725771294,2.942970037460327
60,130,5454,95.1,106.66,62.93887629365215,3.4088611602783203
60,140,6115,66.1,128.27,69.81524942675335,3.920837163925171
60,150,6884,76.9,97.03,114.00447298106663,4.345381021499634
60,160,7335,45.1,194.59,47.84278695280295,5.100367069244385
60,170,8315,98.0,77.31,92.67886743818931,5.49088716506958
60,180,8672,35.7,234.76,60.6195460578597,6.340536117553711
60,190,9807,113.5,499.63,54.23554875739761,8.198286056518555
70,10,222,22.2,58.75,21.010968325013856,0.23207497596740723
70,20,504,28.2,54.96,56.31475256152584,0.49228811264038086
70,30,920,41.6,19.58,61.293641667810085,0.6096141338348389
70,40,1133,21.3,69.92,52.64982952540442,0.8797991275787354
70,50,1705,57.2,62.29,11.373647430078583,1.1603710651397705
70,60,2175,47.0,22.98,56.60630058902171,1.3235399723052979
70,70,2550,37.5,63.85,61.99198939417233,1.590381145477295
70,80,3141,59.1,104.95,14.884457167753697,2.0190389156341553
70,90,3645,50.4,44.61,36.83014117204742,2.2328319549560547
70,100,4079,43.4,22.27,106.3305449218696,2.3608620166778564
70,110,4335,25.6,47.28,45.17394937312886,2.554749011993408
70,120,4684,34.9,48.66,10.825833766493487,2.762770175933838
70,130,5163,47.9,119.25,28.984240817898996,3.2261412143707275
70,140,5738,57.5,34.39,60.17314975324937,3.4116711616516113
70,150,6045,30.7,67.21,38.7973972089682,3.6799700260162354
70,160,6672,62.7,75.34,42.96671533050822,4.010380029678345
70,170,7404,73.2,81.44,46.13133676647551,4.375323057174683
70,180,8062,65.8,60.51,62.82714626443067,4.659271240234375
70,190,8635,57.3,140.17,57.56738054750984,5.2077250480651855
70,200,10005,137.0,14.3,241.37148088389281,5.412308931350708
70,210,10142,13.7,20.66,41.96150219259822,5.503985166549683
70,220,10331,18.9,21.25,5.923733233908727,5.598793983459473
70,230,10548,21.7,78.09,49.08323920936575,5.886444091796875
70,240,11112,56.4,118.45,97.79085762309876,6.346053123474121
70,250,11875,76.3,101.64,50.325580223594386,6.773226022720337
70,260,12817,94.2,50.52,117.18023425595939,7.053462028503418
70,270,13219,40.2,96.22,65.30363695373008,7.427715063095093
70,280,13916,69.7,115.49,29.290591708075425,7.8923280239105225
70,290,14523,60.7,50.49,51.707007945411334,8.130787134170532
70,300,14960,43.7,118.24,83.70240043555961,8.584189891815186
70,310,15627,66.7,124.45,9.400680943038127,9.084273099899292
70,320,16337,71.0,155.19,36.680093489992075,9.751557111740112
70,330,17188,85.1,171.08,57.35945044446148,10.444397211074829
70,340,18437,124.9,156.46,38.36706549304486,11.11801815032959
70,350,19484,104.7,75.31,57.61691072290382,11.498187065124512
70,360,20218,73.4,91.41,69.8530762658454,11.896774291992188
70,370,20920,70.2,131.67,45.29517683969259,12.423697233200073
70,380,21750,83.0,80.92,66.49212760031557,12.79274606704712
70,390,22326,57.6,26.74,78.19311856288545,12.950835943222046
70,400,22517,19.1,60.97,46.02548579858591,13.186444997787476
70,410,22995,47.8,84.04,30.39576983393344,13.52879810333252
70,420,23657,66.2,127.9,59.1826366699811,14.039099216461182
70,430,24765,110.8,125.58,76.57061840392348,14.62942099571228
70,440,25615,85.0,191.51,91.20469021424165,15.381213188171387
70,450,26982,136.7,233.19,39.4645741147041,16.346145153045654
70,460,28793,181.1,420.53,84.54521569167603,17.983710050582886
70,470,31429,263.6,384.71,51.09871033950185,19.587860107421875
70,480,34618,318.9,36.99,168.6535603640454,20.136438131332397
70,490,35032,41.4,124.14,61.34206493436189,20.616575956344604
70,500,36101,106.9,64.59,151.24503867863584,20.9607150554657
80,10,223,22.3,83.87,30.36359372620646,0.3197779655456543
80,20,510,28.7,23.1,44.0294150936169,0.4334120750427246
80,30,844,33.4,101.59,33.807809479514724,0.8205118179321289
80,40,1179,33.5,60.99,24.495066069004707,1.0700459480285645
80,50,1612,43.3,22.26,100.91200922724884,1.1970810890197754
80,60,1809,19.7,29.03,24.830304960142392,1.3207919597625732
80,70,2102,29.3,70.4,51.37501666209953,1.5931899547576904
80,80,2792,69.0,41.97,69.60251271320146,1.8142650127410889
80,90,3235,44.3,67.4,40.3243017470258,2.0956578254699707
80,100,3845,61.0,69.73,44.569998223844195,2.4012808799743652
80,110,4495,65.0,149.76,48.87350658359333,2.9848580360412598
80,120,5295,80.0,44.47,62.82249380230778,3.2264387607574463
80,130,5680,38.5,42.34,7.0451690632229855,3.415634870529175
80,140,6137,45.7,182.51,63.819227722401365,4.089462995529175
80,150,6998,86.1,172.2,32.91417894129779,4.771991968154907
80,160,7707,70.9,44.51,59.438253959967525,5.005661964416504
80,170,8079,37.2,193.1,51.658046141799474,5.698412895202637
80,180,8882,80.3,127.11,33.98813704789104,6.248783111572266
80,190,9943,106.1,88.16,59.796024712882264,6.674695730209351
80,200,10687,74.4,112.5,113.3204156339227,7.144261837005615
80,210,11370,68.3,141.84,62.13449362231053,7.70085072517395
80,220,12628,125.8,175.4,54.377766406589224,8.47171401977539
80,230,14424,179.6,93.61,123.90108872974692,8.995344877243042
80,240,14861,43.7,387.23,98.8959746652817,10.374612808227539
80,250,18688,382.7,102.69,126.51365809813699,11.164963006973267
80,260,19600,91.2,175.64,39.357442327692034,11.875862836837769
80,270,20816,121.6,55.69,138.7409767355634,12.208316802978516
80,280,21287,47.1,103.88,60.13398114527776,12.622065782546997
80,290,22301,101.4,190.73,133.20938167191716,13.381637811660767
80,300,24070,176.9,224.2,28.03850066124842,14.389931917190552
80,310,26253,218.3,13.88,378.20964057767736,14.689527988433838
80,320,26398,14.5,14.28,4.789145750708247,14.766669034957886
80,330,26544,14.6,16.38,21.49307353906487,14.842358827590942
80,340,26698,15.4,29.24,32.31608540043537,14.962140798568726
80,350,26913,21.5,53.73,29.367680828173654,15.171006917953491
80,360,27315,40.2,99.21,74.65527090377071,15.557621955871582
80,370,28061,74.6,78.11,42.71007241393763,15.907731771469116
80,380,28798,73.7,29.64,82.19422273337076,16.094855785369873
80,390,29119,32.1,89.63,52.288281362303785,16.439334869384766
80,400,30072,95.3,246.78,113.97635202002392,17.449753999710083
80,410,32032,196.0,214.45,33.73812843325256,18.402363061904907
80,420,33860,182.8,226.22,88.04259590618811,19.443583965301514
80,430,35327,146.7,393.35,112.5872832859079,20.95959496498108
80,440,37894,256.7,459.3,24.973585812398944,22.91172504425049
80,450,40158,226.4,333.39,110.12327547980642,24.30098295211792
80,460,43458,330.0,177.32,76.59969431387914,25.29085898399353
80,470,45232,177.4,116.3,106.77923389895793,25.893322944641113
80,480,46406,117.4,177.61,90.85539398546359,26.638766050338745
80,490,48177,177.1,414.76,98.73444739675917,28.25950002670288
80,500,52409,423.2,102.66,360.1109636886743,29.094956874847412
90,10,226,22.6,35.61,28.495500961290585,0.16138911247253418
90,20,555,32.9,27.86,44.158975610853894,0.2954680919647217
90,30,938,38.3,21.55,111.97177574374236,0.412078857421875
90,40,1165,22.7,27.36,23.80916064509014,0.5314900875091553
90,50,1458,29.3,53.73,35.375033731083896,0.7448210716247559
90,60,1885,42.7,90.6,24.31878208789699,1.0970900058746338
90,70,2423,53.8,86.02,26.910566603023593,1.4918220043182373
90,80,2876,45.3,53.69,34.08240262599794,1.7302117347717285
90,90,3423,54.7,54.41,50.73789466178234,1.9801757335662842
90,100,3970,54.7,54.75,49.22492345206621,2.2303049564361572
90,110,4459,48.9,56.72,13.273175812194623,2.4786229133605957
90,120,4983,52.4,59.21,47.69586810448577,2.7381699085235596
90,130,5539,55.6,59.52,51.744201629847716,3.0008111000061035
