seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,fim_condition_number
3000,0.01,nan,90,3264,50.0,56.74,2.5186240673065186,26.228477478027344,N/A
3000,0.01,nan,100,3721,45.7,60.3,2.7865710258483887,16.228275299072266,N/A
3000,0.01,nan,110,4105,38.4,62.81,3.0436878204345703,24.25357437133789,N/A
3000,0.01,nan,120,4624,51.9,62.98,3.3096330165863037,22.35614013671875,N/A
3000,0.01,nan,130,5102,47.8,61.51,3.5667178630828857,67.24137878417969,N/A
3000,0.01,nan,140,5692,59.0,63.38,3.840665102005005,38.03438949584961,N/A
3000,0.01,nan,150,6185,49.3,109.02,4.253909111022949,42.36245346069336,N/A
3000,0.01,nan,160,6673,48.8,200.85,4.966256856918335,20.769956588745117,N/A
3000,0.01,nan,170,7315,64.2,241.04,5.82380485534668,61.850975036621094,N/A
3000,0.01,nan,180,8129,81.4,71.64,6.152409076690674,57.4310302734375,N/A
3000,0.01,nan,190,8750,62.1,78.92,6.477200984954834,25.094572067260742,N/A
3000,0.01,nan,200,9310,56.0,86.86,6.819266080856323,74.55696105957031,N/A
3000,0.01,nan,210,9772,46.2,91.5,7.215313911437988,44.09095001220703,N/A
3000,0.01,nan,220,10381,60.9,97.22,7.600786924362183,55.729469299316406,N/A
3000,0.01,nan,230,11013,63.2,99.15,7.9970691204071045,73.4527359008789,N/A
3000,0.01,nan,240,11894,88.1,187.37,8.703999996185303,23.893705368041992,N/A
3000,0.01,nan,250,12960,106.6,325.06,9.878852128982544,52.567222595214844,N/A
3000,0.01,nan,260,13885,92.5,330.07,11.041877031326294,47.007686614990234,N/A
3000,0.01,nan,270,14690,80.5,294.96,12.093011856079102,95.09961700439453,N/A
3000,0.01,nan,280,15906,121.6,365.28,13.420976877212524,137.1677703857422,N/A
3000,0.01,nan,290,17018,111.2,349.12,14.703381061553955,157.71405029296875,N/A
3000,0.01,nan,300,18295,127.7,405.48,16.171894073486328,187.13739013671875,N/A
3000,0.01,nan,310,20019,172.4,391.84,17.644088983535767,88.186767578125,N/A
3000,0.01,nan,320,21814,179.5,344.33,18.98292899131775,81.62020874023438,N/A
3000,0.01,nan,330,23860,204.6,305.88,20.248405933380127,106.17243957519531,N/A
3000,0.01,nan,340,26303,244.3,353.48,21.658459186553955,77.63556671142578,N/A
3000,0.01,nan,350,27934,163.1,497.25,23.439479112625122,109.79019927978516,N/A
4000,0.01,nan,10,209,20.9,15.88,0.08183979988098145,18.827125549316406,N/A
4000,0.01,nan,20,488,27.9,27.11,0.20030689239501953,91.60004425048828,N/A
4000,0.01,nan,30,754,26.6,46.96,0.38153600692749023,14.057771682739258,N/A
4000,0.01,nan,40,1120,36.6,69.12,0.6449947357177734,29.007953643798828,N/A
4000,0.01,nan,50,1404,28.4,61.89,0.8756718635559082,18.825284957885742,N/A
4000,0.01,nan,60,1892,48.8,52.82,1.0985710620880127,11.936966896057129,N/A
4000,0.01,nan,70,2321,42.9,58.09,1.3321070671081543,57.56397247314453,N/A
4000,0.01,nan,80,2744,42.3,59.79,1.5702879428863525,10.44335651397705,N/A
4000,0.01,nan,90,3186,44.2,72.3,1.9103319644927979,57.386016845703125,N/A
4000,0.01,nan,100,3706,52.0,145.85,2.445767879486084,32.42927932739258,N/A
