seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,fim_condition_number
200,1.0,N/A,200,2054,9.5,9.28,1.5918610095977783,0.0,N/A
200,1.0,N/A,210,2149,9.5,9.28,1.665722131729126,0.0,N/A
200,1.0,N/A,220,2244,9.5,9.28,1.7394452095031738,0.0,N/A
200,1.0,N/A,230,2339,9.5,9.28,1.8139173984527588,0.0,N/A
200,1.0,N/A,240,2434,9.5,9.28,1.8882932662963867,0.0,N/A
200,1.0,N/A,250,2529,9.5,9.28,1.9620411396026611,0.0,N/A
200,1.0,N/A,260,2624,9.5,9.28,2.035630226135254,0.0,N/A
200,1.0,N/A,270,2719,9.5,9.28,2.1090171337127686,0.0,N/A
200,1.0,N/A,280,2814,9.5,9.28,2.1822330951690674,0.0,N/A
200,1.0,N/A,290,2909,9.5,9.28,2.2553391456604004,0.0,N/A
200,1.0,N/A,300,3004,9.5,9.28,2.328301191329956,0.0,N/A
200,1.0,N/A,310,3099,9.5,9.28,2.401076316833496,0.0,N/A
200,1.0,N/A,320,3194,9.5,9.28,2.4737842082977295,0.0,N/A
200,1.0,N/A,330,3289,9.5,9.28,2.553354024887085,0.0,N/A
200,1.0,N/A,340,3384,9.5,9.28,2.6292622089385986,0.0,N/A
200,1.0,N/A,350,3479,9.5,9.28,2.702646017074585,0.0,N/A
200,1.0,N/A,360,3574,9.5,9.28,2.776329278945923,0.0,N/A
200,1.0,N/A,370,3669,9.5,9.28,2.8519091606140137,0.0,N/A
200,1.0,N/A,380,3764,9.5,9.28,2.9323673248291016,0.0,N/A
200,1.0,N/A,390,3859,9.5,9.28,3.0070641040802,0.0,N/A
200,1.0,N/A,400,3954,9.5,9.28,3.081127405166626,0.0,N/A
200,1.0,N/A,410,4049,9.5,9.28,3.1542043685913086,0.0,N/A
200,1.0,N/A,420,4144,9.5,9.28,3.2264292240142822,0.0,N/A
200,1.0,N/A,430,4239,9.5,9.28,3.2983992099761963,0.0,N/A
200,1.0,N/A,440,4334,9.5,9.28,3.370232105255127,0.0,N/A
200,1.0,N/A,450,4429,9.5,9.28,3.4418821334838867,0.0,N/A
200,1.0,N/A,460,4524,9.5,9.28,3.5141963958740234,0.0,N/A
200,1.0,N/A,470,4619,9.5,9.28,3.5867552757263184,0.0,N/A
200,1.0,N/A,480,4714,9.5,9.28,3.6584062576293945,0.0,N/A
200,1.0,N/A,490,4809,9.5,9.28,3.7437102794647217,0.0,N/A
200,1.0,N/A,500,4904,9.5,9.28,3.8386282920837402,0.0,N/A
300,1.0,N/A,10,177,17.7,26.35,0.200822114944458,9.231864929199219,N/A
300,1.0,N/A,20,436,25.9,21.46,0.3751051425933838,39.13810348510742,N/A
300,1.0,N/A,30,651,21.5,9.28,0.47166991233825684,10.586038589477539,N/A
300,1.0,N/A,40,746,9.5,9.28,0.5460851192474365,0.0,N/A
300,1.0,N/A,50,841,9.5,10.21,0.6255369186401367,23.95876121520996,N/A
300,1.0,N/A,60,947,10.6,9.86,0.7072539329528809,23.20157814025879,N/A
300,1.0,N/A,70,1047,10.0,9.36,0.797170877456665,6.552205562591553,N/A
300,1.0,N/A,80,1143,9.6,9.36,0.8802812099456787,9.59941291809082,N/A
300,1.0,N/A,90,1239,9.6,9.28,0.9371449947357178,29.268260955810547,N/A
300,1.0,N/A,100,1334,9.5,9.28,0.9801540374755859,0.0,N/A
300,1.0,N/A,110,1429,9.5,9.28,1.0262820720672607,0.0,N/A
300,1.0,N/A,120,1524,9.5,9.28,1.071174144744873,0.0,N/A
300,1.0,N/A,130,1619,9.5,9.28,1.1168601512908936,0.0,N/A
300,1.0,N/A,140,1714,9.5,9.28,1.2008922100067139,0.0,N/A
300,1.0,N/A,150,1809,9.5,9.28,1.2473411560058594,0.0,N/A
300,1.0,N/A,160,1904,9.5,9.28,1.324580192565918,0.0,N/A
300,1.0,N/A,170,1999,9.5,9.28,1.36918306350708,0.0,N/A
300,1.0,N/A,180,2094,9.5,9.28,1.4129531383514404,0.0,N/A
300,1.0,N/A,190,2189,9.5,9.28,1.4574329853057861,0.0,N/A
300,1.0,N/A,200,2284,9.5,9.28,1.5001819133758545,0.0,N/A
300,1.0,N/A,210,2379,9.5,9.28,1.5433032512664795,0.0,N/A
300,1.0,N/A,220,2474,9.5,9.28,1.5853931903839111,0.0,N/A
300,1.0,N/A,230,2569,9.5,9.28,1.627648115158081,0.0,N/A
300,1.0,N/A,240,2664,9.5,9.28,1.6697368621826172,0.0,N/A
300,1.0,N/A,250,2759,9.5,9.28,1.7116360664367676,0.0,N/A
300,1.0,N/A,260,2854,9.5,9.28,1.7534708976745605,0.0,N/A
300,1.0,N/A,270,2949,9.5,9.28,1.7952210903167725,0.0,N/A
300,1.0,N/A,280,3044,9.5,9.28,1.8370811939239502,0.0,N/A
300,1.0,N/A,290,3139,9.5,9.28,1.8788321018218994,0.0,N/A
300,1.0,N/A,300,3234,9.5,9.28,1.920659065246582,0.0,N/A
300,1.0,N/A,310,3329,9.5,9.28,1.9624691009521484,0.0,N/A
300,1.0,N/A,320,3424,9.5,9.28,2.0041871070861816,0.0,N/A
300,1.0,N/A,330,3519,9.5,9.28,2.0459649562835693,0.0,N/A
300,1.0,N/A,340,3614,9.5,9.28,2.087768077850342,0.0,N/A
300,1.0,N/A,350,3709,9.5,9.28,2.129486083984375,0.0,N/A
300,1.0,N/A,360,3804,9.5,9.28,2.1711931228637695,0.0,N/A
300,1.0,N/A,370,3899,9.5,9.28,2.213670253753662,0.0,N/A
300,1.0,N/A,380,3994,9.5,9.28,2.2556910514831543,0.0,N/A
300,1.0,N/A,390,4089,9.5,9.28,2.297884941101074,0.0,N/A
300,1.0,N/A,400,4184,9.5,9.28,2.3399758338928223,0.0,N/A
300,1.0,N/A,410,4279,9.5,9.28,2.381840229034424,0.0,N/A
300,1.0,N/A,420,4374,9.5,9.28,2.425382137298584,0.0,N/A
300,1.0,N/A,430,4469,9.5,9.28,2.46818208694458,0.0,N/A
300,1.0,N/A,440,4564,9.5,9.28,2.5123231410980225,0.0,N/A
