lr,seed,global_episode,train_mean_reward,eval_mean_reward,time_seconds
0.1,20,290,96.0,180.06,10.317357778549194
0.1,20,300,94.0,187.54,11.15444302558899
0.1,20,310,84.1,191.52,11.94850206375122
0.1,20,320,94.8,197.77,12.782732009887695
0.1,20,330,78.4,194.78,13.58551287651062
0.1,20,340,75.5,195.17,14.3850679397583
0.1,20,350,89.9,211.42,15.251705884933472
0.1,20,360,96.0,229.05,16.20856809616089
0.1,20,370,108.1,237.34,17.2100248336792
0.1,20,380,122.2,249.48,18.285274982452393
0.1,20,390,82.3,285.7,19.37858295440674
0.1,20,400,84.0,294.44,20.57865881919861
0.1,20,410,106.1,304.49,21.799892902374268
0.1,20,420,132.9,308.18,23.1012179851532
0.1,20,430,128.8,304.6,24.36270499229431
0.1,20,440,119.2,300.49,25.590156078338623
0.1,20,450,120.8,312.74,26.865696907043457
0.1,20,460,123.0,318.54,28.178154945373535
0.1,20,470,130.7,321.1,29.50793981552124
0.1,20,480,124.0,325.81,30.8413188457489
0.1,20,490,117.6,325.74,32.201942920684814
0.1,20,500,151.6,329.96,33.60353994369507
0.1,30,10,21.6,9.33,0.0880122184753418
0.1,30,20,17.0,9.33,0.15852022171020508
0.1,30,30,20.8,9.33,0.2349870204925537
0.1,30,40,22.7,9.33,0.31499814987182617
0.1,30,50,18.5,9.33,0.387890100479126
0.1,30,60,19.6,9.33,0.4623911380767822
0.1,30,70,24.9,9.33,0.5481300354003906
0.1,30,80,19.1,12.65,0.6332991123199463
0.1,30,90,22.7,27.12,0.7753980159759521
0.1,30,100,23.8,62.15,1.0580589771270752
0.1,30,110,38.3,96.85,1.4601449966430664
0.1,30,120,32.0,353.05,2.694959878921509
0.1,30,130,33.4,274.62,3.6554250717163086
0.1,30,140,17.6,103.86,4.03902006149292
0.1,30,150,26.2,129.58,4.523308038711548
0.1,30,160,33.1,189.71,5.216754913330078
0.1,30,170,30.4,271.94,6.1685121059417725
0.1,30,180,34.0,281.83,7.1564202308654785
0.1,30,190,40.9,247.98,8.101623058319092
0.1,30,200,39.6,249.6,9.006091117858887
