seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,fim_condition_number
200,1.0,0.01,240,4404,19.6,20.92,4.4107279777526855,5.440716449811589e-06,1.000001072883606
200,1.0,0.01,250,4600,19.6,20.92,4.640710830688477,5.402542683441425e-06,1.0000014305114746
200,1.0,0.01,260,4796,19.6,20.92,4.8360090255737305,5.364762728277128e-06,1.0000011920928955
200,1.0,0.01,270,4992,19.6,20.92,5.026113986968994,5.327357939677313e-06,1.000001072883606
200,1.0,0.01,280,5188,19.6,20.92,5.215812921524048,5.290465196594596e-06,1.000001311302185
200,1.0,0.01,290,5384,19.6,20.92,5.407486915588379,4.307734343456104e-06,1.000001072883606
200,1.0,0.01,300,5580,19.6,20.92,5.6006269454956055,4.283653652237263e-06,1.0000015497207642
200,1.0,0.01,310,5776,19.6,20.92,5.792740821838379,4.259772140358109e-06,1.000001311302185
200,1.0,0.01,320,5972,19.6,20.92,5.983985900878906,4.236090262565995e-06,1.0000005960464478
200,1.0,0.01,330,6168,19.6,20.92,6.175213098526001,4.212703061057255e-06,1.000001072883606
200,1.0,0.01,340,6364,19.6,20.92,6.365661859512329,4.189503670204431e-06,1.000001311302185
200,1.0,0.01,350,6560,19.6,20.92,6.557498931884766,4.166374765190994e-06,1.000001072883606
200,1.0,0.01,360,6756,19.6,20.92,6.750185012817383,4.143586920690723e-06,1.0000015497207642
200,1.0,0.01,370,6952,19.6,20.92,6.942127227783203,4.121015081182122e-06,1.0000009536743164
200,1.0,0.01,380,7148,19.6,20.92,7.132956027984619,4.098718363820808e-06,1.000001072883606
200,1.0,0.01,390,7344,19.6,20.92,7.324828863143921,4.076964614796452e-06,1.0000015497207642
200,1.0,0.01,400,7540,19.6,20.92,7.519151210784912,4.055342287756503e-06,1.0000007152557373
200,1.0,0.01,410,7736,19.6,20.92,7.709748983383179,4.033772256661905e-06,1.0000009536743164
200,1.0,0.01,420,7932,19.6,20.92,7.901688098907471,4.012585122836754e-06,1.000001311302185
200,1.0,0.01,430,8128,19.6,20.92,8.094469785690308,3.991721314378083e-06,1.0000008344650269
200,1.0,0.01,440,8324,19.6,20.92,8.28661298751831,3.970847501477692e-06,1.0000009536743164
200,1.0,0.01,450,8520,19.6,20.92,8.476378202438354,3.950241989514325e-06,1.0000009536743164
200,1.0,0.01,460,8716,19.6,20.92,8.67022705078125,3.9297642615565564e-06,1.000001072883606
200,1.0,0.01,470,8912,19.6,20.92,8.863420009613037,3.909435690729879e-06,1.000001072883606
200,1.0,0.01,480,9108,19.6,20.92,9.055535078048706,3.889431809511734e-06,1.000001072883606
200,1.0,0.01,490,9304,19.6,20.92,9.248440027236938,3.869460670102853e-06,1.000001072883606
200,1.0,0.01,500,9500,19.6,20.92,9.437809944152832,3.849781478493242e-06,1.0000014305114746
100,1.0,0.001,10,118,11.8,9.28,0.10294294357299805,27.849515914916992,2676.21533203125
100,1.0,0.001,20,213,9.5,9.28,0.19101572036743164,0.0,0.9999899864196777
100,1.0,0.001,30,308,9.5,9.28,0.2770719528198242,0.0,0.9999899864196777
100,1.0,0.001,40,403,9.5,9.28,0.363206148147583,0.0,0.9999899864196777
100,1.0,0.001,50,498,9.5,9.28,0.44851088523864746,0.0,0.9999899864196777
100,1.0,0.001,60,593,9.5,9.28,0.5341339111328125,0.0,0.9999899864196777
100,1.0,0.001,70,688,9.5,9.28,0.6195480823516846,0.0,0.9999899864196777
100,1.0,0.001,80,783,9.5,9.28,0.706031084060669,0.0,0.9999899864196777
100,1.0,0.001,90,878,9.5,9.28,0.7917919158935547,0.0,0.9999899864196777
100,1.0,0.001,100,973,9.5,9.28,0.8788490295410156,0.0,0.9999899864196777
100,1.0,0.001,110,1068,9.5,9.28,0.9644410610198975,0.0,0.9999899864196777
100,1.0,0.001,120,1163,9.5,9.28,1.0500907897949219,0.0,0.9999899864196777
100,1.0,0.001,130,1258,9.5,9.28,1.1362988948822021,0.0,0.9999899864196777
100,1.0,0.001,140,1353,9.5,9.28,1.223599910736084,0.0,0.9999899864196777
100,1.0,0.001,150,1448,9.5,9.28,1.309269905090332,0.0,0.9999899864196777
100,1.0,0.001,160,1543,9.5,9.28,1.3960418701171875,0.0,0.9999899864196777
100,1.0,0.001,170,1638,9.5,9.28,1.481755018234253,0.0,0.9999899864196777
100,1.0,0.001,180,1733,9.5,9.28,1.5675129890441895,0.0,0.9999899864196777
100,1.0,0.001,190,1828,9.5,9.28,1.6528077125549316,0.0,0.9999899864196777
100,1.0,0.001,200,1923,9.5,9.28,1.7383348941802979,0.0,0.9999899864196777
100,1.0,0.001,210,2018,9.5,9.28,1.8235750198364258,0.0,0.9999899864196777
100,1.0,0.001,220,2113,9.5,9.28,1.909653902053833,0.0,0.9999899864196777
100,1.0,0.001,230,2208,9.5,9.28,1.9964489936828613,0.0,0.9999899864196777
100,1.0,0.001,240,2303,9.5,9.28,2.081784963607788,0.0,0.9999899864196777
100,1.0,0.001,250,2398,9.5,9.28,2.168570041656494,0.0,0.9999899864196777
100,1.0,0.001,260,2493,9.5,9.28,2.25403094291687,0.0,0.9999899864196777
100,1.0,0.001,270,2588,9.5,9.28,2.339426040649414,0.0,0.9999899864196777
100,1.0,0.001,280,2683,9.5,9.28,2.4242889881134033,0.0,0.9999899864196777
100,1.0,0.001,290,2778,9.5,9.28,2.509683847427368,0.0,0.9999899864196777
100,1.0,0.001,300,2873,9.5,9.28,2.5964038372039795,0.0,0.9999899864196777
100,1.0,0.001,310,2968,9.5,9.28,2.682396173477173,0.0,0.9999899864196777
100,1.0,0.001,320,3063,9.5,9.28,2.767951011657715,0.0,0.9999899864196777
100,1.0,0.001,330,3158,9.5,9.28,2.858191967010498,0.0,0.9999899864196777
100,1.0,0.001,340,3253,9.5,9.28,2.9488608837127686,0.0,0.9999899864196777
100,1.0,0.001,350,3348,9.5,9.28,3.037616014480591,0.0,0.9999899864196777
100,1.0,0.001,360,3443,9.5,9.28,3.125804901123047,0.0,0.9999899864196777
100,1.0,0.001,370,3538,9.5,9.28,3.21396803855896,0.0,0.9999899864196777
100,1.0,0.001,380,3633,9.5,9.28,3.303818941116333,0.0,0.9999899864196777
100,1.0,0.001,390,3728,9.5,9.28,3.391911745071411,0.0,0.9999899864196777
100,1.0,0.001,400,3823,9.5,9.28,3.479874849319458,0.0,0.9999899864196777
100,1.0,0.001,410,3918,9.5,9.28,3.566579818725586,0.0,0.9999899864196777
100,1.0,0.001,420,4013,9.5,9.28,3.6543548107147217,0.0,0.9999899864196777
100,1.0,0.001,430,4108,9.5,9.28,3.740769863128662,0.0,0.9999899864196777
100,1.0,0.001,440,4203,9.5,9.28,3.8269128799438477,0.0,0.9999899864196777
100,1.0,0.001,450,4298,9.5,9.28,3.912282943725586,0.0,0.9999899864196777
100,1.0,0.001,460,4393,9.5,9.28,3.9978830814361572,0.0,0.9999899864196777
100,1.0,0.001,470,4488,9.5,9.28,4.087165832519531,0.0,0.9999899864196777
100,1.0,0.001,480,4583,9.5,9.28,4.177533864974976,0.0,0.9999899864196777
100,1.0,0.001,490,4678,9.5,9.28,4.266330003738403,0.0,0.9999899864196777
