seed,global_episode,total_steps,train_mean_reward,eval_mean_reward,grad_norm,time_seconds
40,170,8527,80.5,80.44,13.917501709597474,5.644201040267944
40,180,9104,57.7,76.86,31.462013010952592,5.96399998664856
40,190,9763,65.9,75.07,43.39814848803163,6.283284902572632
40,200,10484,72.1,75.76,43.1448068993235,6.611589193344116
40,210,11028,54.4,75.95,13.200787737614942,6.928548097610474
40,220,11762,73.4,102.15,58.241548991270406,7.343783855438232
40,230,12520,75.8,158.81,25.728374593846414,7.950160980224609
40,240,13167,64.7,206.06,26.72258445862719,8.70438289642334
40,250,13971,80.4,206.45,14.576461926676656,9.46777606010437
40,260,14869,89.8,158.61,11.119510452343276,10.082139253616333
40,270,15640,77.1,151.99,50.490121298146455,10.671227216720581
40,280,16403,76.3,197.18,53.98310324766269,11.400349855422974
40,290,17165,76.2,214.66,12.405536946429462,12.18659496307373
40,300,18050,88.5,242.26,69.0073803168476,13.120184183120728
40,310,18747,69.7,220.29,41.02692689867288,13.91913104057312
40,320,19713,96.6,274.25,129.50103575603777,14.916749000549316
40,330,20633,92.0,272.3,18.558193222766917,15.904581069946289
40,340,21489,85.6,287.6,102.71755459231899,16.942885875701904
40,350,22236,74.7,286.16,41.44769501314593,17.962310075759888
40,360,23262,102.6,298.68,50.7466631587639,19.067135095596313
40,370,24019,75.7,296.94,55.993999218837565,20.12263298034668
40,380,25080,106.1,272.33,34.014429832904305,21.167211055755615
40,390,26161,108.1,315.13,89.33416857841281,22.32917308807373
40,400,27231,107.0,345.59,38.26428880282615,23.58808183670044
40,410,28367,113.6,356.39,78.39265087385355,24.888620138168335
40,420,29764,139.7,361.37,85.08023932404426,26.23494815826416
40,430,31016,125.2,364.88,30.974441152499637,27.566219091415405
40,440,32809,179.3,369.67,120.61246636857251,29.052889108657837
40,450,34554,174.5,378.68,55.22641552273093,30.485214948654175
40,460,36330,177.6,351.72,108.41675502205887,31.825788021087646
40,470,38301,197.1,305.46,44.746449454674114,33.07368183135986
40,480,40156,185.5,260.37,47.182997468778886,34.13615298271179
40,490,41965,180.9,191.42,207.034785307414,34.99458408355713
40,500,44038,207.3,199.01,239.1379401111411,35.88740396499634
50,10,238,23.8,15.58,48.26164060504443,0.08872485160827637
50,20,431,19.3,14.9,8.364384625874983,0.16227984428405762
50,30,674,24.3,21.04,37.72001548989396,0.26213979721069336
50,40,901,22.7,31.29,34.906785685523964,0.39139580726623535
50,50,1273,37.2,83.97,20.829168081041193,0.7083206176757812
50,60,1719,44.6,67.92,24.383422593846678,0.97910475730896
50,70,2237,51.8,219.56,61.716487170769504,1.7503879070281982
50,80,2592,35.5,179.46,45.67100892383575,2.378107786178589
50,90,3062,47.0,194.32,38.630834145288354,3.068920850753784
50,100,3790,72.8,243.81,46.72155204684328,3.9392850399017334
50,110,4341,55.1,137.77,30.915047370536875,4.463984966278076
50,120,5182,84.1,184.68,64.94781580124601,5.159740924835205
50,130,5911,72.9,192.1,19.223803257826475,5.883378982543945
50,140,6590,67.9,229.63,40.27149605203166,6.7353339195251465
50,150,7298,70.8,253.19,35.923839402831554,7.637976884841919
50,160,8039,74.1,225.18,57.62105170533444,8.456876754760742
50,170,8793,75.4,238.28,42.327459577694334,9.323575735092163
50,180,9612,81.9,288.31,43.808357727733764,10.359063863754272
50,190,10758,114.6,370.72,122.81183727083629,11.691893815994263
50,200,11803,104.5,418.69,112.01353962284794,13.234610795974731
50,210,13091,128.8,456.48,147.9648096058108,14.917008876800537
50,220,15442,235.1,473.96,104.35742629072398,16.721704959869385
50,230,17770,232.8,498.45,126.95152651089168,18.609434843063354
60,10,253,25.3,18.14,23.282873186701117,0.1008603572845459
